"Asset-ID";"Gerätename";"Name";"DisplayName";"Version";"Hersteller";"Quelle";"Pakettyp";"PaketId";"InstallDatum";"Installationsort";"Architektur";"BenutzerKontext";"Publisher";"InstallDate";"InstallLocation";"Source";"Sources";"Scope";"Architecture";"UserSID";"PackageType";"DetectionConfidence";"RawSourceKey";"RawPath";"RawNames";"RawEntryCount";"ScanStatus";"ScanMode";"UpdateStatus";"UpdateAvailable";"InstalledVersion";"LatestVersion";"UpdateSource";"UpdateRaw";"UpdateCheckedAt"
"AS-0004";"GOLDENZOPF";"Leistungsindikator-DLL-Host";"Leistungsindikator-DLL-Host";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\SysWow64\perfhost.exe";"Leistungsindikator-DLL-Host";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Leistungsprotokolle und -warnungen";"Leistungsprotokolle und -warnungen";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p";"Leistungsprotokolle und -warnungen";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"LibreOffice 26.2 Help Pack (German)";"LibreOffice 26.2 Help Pack (German)";"26.2.2.2";"The Document Foundation";"RegistryHKLM64";"Registry";"{C1536791-99A7-4C0E-83D6-64DEE765A8A6}";"20260508";"C:\Program Files\LibreOffice\";"x64";"Machine";"The Document Foundation";"20260508";"C:\Program Files\LibreOffice\";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{C1536791-99A7-4C0E-83D6-64DEE765A8A6}";"C:\Program Files\LibreOffice\";"LibreOffice 26.2 Help Pack (German)";"1";"OK";"ADMIN";"NotChecked";"False";"26.2.2.2";"";"";"";""
"AS-0004";"GOLDENZOPF";"LibreOffice 26.2 Help Pack (German)";"LibreOffice 26.2 Help Pack (German)";"winget";"";"Winget";"Winget";"TheDocumentFoundation.LibreOffice.HelpPack 26.2.2.2";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"LibreOffice 26.2 Help Pack (German)";"1";"OK";"ADMIN";"NotChecked";"False";"winget";"";"";"";""
"AS-0004";"GOLDENZOPF";"LibreOffice 26.2.3.2";"LibreOffice 26.2.3.2";"26.2.3.2";"The Document Foundation";"RegistryHKLM64, Winget";"Registry, Winget";"{446D5532-94D9-42EC-AC40-45486A04D7C9}";"20260508";"C:\Program Files\LibreOffice\";"x64";"Machine";"The Document Foundation";"20260508";"C:\Program Files\LibreOffice\";"RegistryHKLM64";"RegistryHKLM64, Winget";"Machine";"x64";"";"Registry, Winget";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{446D5532-94D9-42EC-AC40-45486A04D7C9}";"C:\Program Files\LibreOffice\";"LibreOffice 26.2.3.2";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"26.2.3.2";"";"";"";""
"AS-0004";"GOLDENZOPF";"LibreOffice Maintenance Service";"LibreOffice Maintenance Service";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"""C:\Program Files\LibreOffice\program\update_service.exe""";"LibreOffice Maintenance Service";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Local AI Manager for Microsoft 365";"Local AI Manager for Microsoft 365";"0.20.47.0";"";"Winget";"Winget";"MSIX\aimgr_0.20.47.0_x64__8wekyb3d8bbwe";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Local AI Manager for Microsoft 365";"1";"OK";"ADMIN";"NotChecked";"False";"0.20.47.0";"";"";"";""
"AS-0004";"GOLDENZOPF";"Lokaler Sitzungs-Manager";"Lokaler Sitzungs-Manager";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p";"Lokaler Sitzungs-Manager";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Lokales Kerberos-Schlüsselverteilungscenter";"Lokales Kerberos-Schlüsselverteilungscenter";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\System32\lsass.exe";"Lokales Kerberos-Schlüsselverteilungscenter";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Macrium Reflect Free";"Macrium Reflect Free";"8.0.7783";"Paramount Software (UK) Ltd.";"RegistryHKLM64, Winget";"Registry, Winget";"{A302C59F-C733-4DA0-9611-1286A9051D15}";"20250303";"";"x64";"Machine";"Paramount Software (UK) Ltd.";"20250303";"";"RegistryHKLM64";"RegistryHKLM64, Winget";"Machine";"x64";"";"Registry, Winget";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{A302C59F-C733-4DA0-9611-1286A9051D15}";"";"Macrium Reflect Free";"2";"OK_COMPACTED";"ADMIN";"NotChecked";"False";"8.0.7783";"";"";"";""
